text,label
My Cozy Glam Aaliyah inspired OOTD aaliyahinspiredoutfit glamdrogynousfashion tomboychicvibes tomboystreetwear bodypositiveootd fatbodypositivity,0
What a guy   #chubbygirlsdoitbetter beyourself loveyourself bodypositive mumofboys effyourbeautystandards celebratemysize honourmycurves alternativecurves daretowear andigetdressed plussize goldenconfidance IMNOMODELEITHER powerofpositivity positivevibes photooftheday instadaily loveyourbody altgirl bopowarrior mrsrosieann t bopo plussizefashion bootyrevolution womenpoweringwomen pcos goldenconfidance workingmom bethebestyou,1
Beautiful disaster,0
Part Mom,0
Depressed piece of shit,0
math teacher calls irrational numbers female numbers and rational numbers male numbers,0
How did you manage to blow through a diaper AND your clothes AND your,1
Thick thighs Thin patience,1
i once got told by my boss that i was hired because of my tits and teeth,1
a man stood next to me leant close in over my shoulder and whispered ill give you 125 if you f me,1
being patronised by being called a girl in everyday speech when i am a woman,1
Mind blowing hypocrisy,1
i was 5 when i was raped and forced into child pornography,1
at a festival my friend politely asked a random boy who seemed sober if she could borrow his lighter he casually replied there you go slut and handed it to her,1
girls mean gay,1
Rappel  de,0
Girl you are We call it thick or nothing wrong with a little meat and BodyShamingIsNotOk Bootylicious BlackQueen WeLoveSomeColor BlackWomenRock,0
Fat shaming For,0
It took tries and back and forths to fit into this,0
YOUR ABUSE RECOVERY NarcissiticAbuse   narcissist  toxic  liar  narcissism  domesticabuse  psychopath  sociopath  cheater  psycho  abusive  triangulation  ghosting  nocontact  projection  victimshaming  smearcampaign  gaslighting  anxiety  bodybuilding  pathological  boundaries  betrayal  redflags  crazyex  npd  narcissisticpersonalitydisorder  abuse  survivor  domesticviolence,0
Facts let this cruel world take that from you,0
Pool ready fatkiniseason,0
as she never answers anymore hates this,0
told by mum when i was younger and had her brush my really thick hair that being pretty means having to suffer,0
YOUR ABUSE RECOVERY NarcissiticAbuse   narcissist  toxic  liar  narcissism  domesticabuse  psychopath  sociopath  cheater  psycho  abusive  triangulation  ghosting  nocontact  projection  victimshaming  smearcampaign  gaslighting  anxiety  bodybuilding  pathological  boundaries  betrayal  redflags  crazyex  npd  narcissisticpersonalitydisorder  abuse  survivor  domesticviolence,0
They are laughing at Not with You,0
