text,label
Those holes spread ,0
This little greesebomb is third pound patties with a chorizo cheese melt on them topped with two fried Yes I know the chorizo has a little sucre in but net probably sub And holy shit was this Chorizo is a great addition to spice things up when a little tired of the same old beautiful ,0
Sunday morning ,0
good morning new york ,0
Shop shop n day to go for end of season ,0
you should see me in a crown ,0
Here we are you rock  #proudteacher proud bodywoogie bodywoogueuses coach proudcoach #bodypositivefitness bodypositivism bodypositivityactivist stopslutshaming stopbodyshaming feelgood girlpower riotgrrrlz riotgrrrls bodyacceptance bodypositivity positivity haguenau fitness burlesquefitness rocknrollfitness #dernieresnouvellesdalsace dna dnaalsace dnahaguenau youcanrockit wecanrockit Against bodyshaming slutshaming ,0
friend who is a shoeless reikimaster hippytype posts an ecard on facebook including the phrase bitches be trippin and cant understand why another woman and i challenge him,0
those ,0
obsessed with becoming a woman comfortable in her own   #riotsnotdiets haes healthateverysize allbodiesaregoodbodies bodypositive effyourbeautystandards selflove ,0
menbodypositivity behappy prorecovery staystong genderfluid spreadlove supporteveryone respectgenderpronouns nohate wecare depression he loveislove anxiety lovewins lgbt mtf heretohelp somewomenhavepenises dysphoria trans nonbinary likeforlike partsdontrepresentgender gayisokay transgender man ftm ily badday ,0
Goodnight ,0
I love me some chocolate ,0
Excellence ,0
Spa day chubbygirlsdoitbetter beyourself loveyourself bodypositive mumofboys effyourbeautystandards celebratemysize honourmycurves alternativecurves daretowear andigetdressed plussize goldenconfidance IMNOMODELEITHER powerofpositivity positivevibes photooftheday instadaily loveyourbody altgirl bopowarrior mrsrosieann t bopo plussizefashion bootyrevolution womenpoweringwomen pcos goldenconfidance workingmom bethebestyou ,0
Do follow gorgeous model follow ,0
Oh room is basically ready ,0
Chrissy clap back ,0
let your mind bully your Tomaso Wood ,0
You can be sexy and feel good in your no matter what size you ,0
Good friends let you do stupid alone   #girl polishgirl polskadziewczyna travelgirl blonde friends dress legs girlsnight bari italy italian holiday trip travel beautifulgirl #italiangirl spanishgirl portugalgirl czechgirl slovakgirl ukrainiangirl russiangirl model #fitgirl fitnessgirl fitspo fitfam bodypositive bodygoals ,0
Dear voice is owerful! ~~~~~~~~~~~~~~~~~~~~~~~~~~ #thelanternempoweredhealing #thelantern #empoweredhealing #healingjourney #believesurvivors #ibelievesurvivors #listentosurvivors #supportsurvivors #silencebreakers #thesilencebreakers #nomoresilence #embraceyourvoice #yourvoicematters #yourvoiceisyourpower #yourvoicehaspower #yourvoiceyourpower #takebackyourvoice #reclaimyourvoice #reclaimyourpower #voice #saam #30daysofsaam #saam2019 #metoo #metoomovement #metoomvmt #metoocampaign #metoostory #timesup #timesupnow ,0
Yes ,0
AM little positivity series from bodypositivityandflowers ,0
bare mean   evenfatcatshavefeelings  bodyshamingisforlosers  someonegetmethechartofveterinarians,0
caption the mural says it ,0
Thinking Of Going Bald portrait bodypositive EffYourBeautyStandards HonorMyCurves CelebrateMySize TCFStyle AlternativeCurves DareToWear AndIGetDressed SkorchMagazine GoldenConfidence FashionTruth ImNoModelEither recovery mentalhealthawareness recoveryisworthit wellness blackandwhite ,0
I swear be regular with my posts and captions after my exams ,0
my postgrad university textbook concerning new media amp tech refers to businessmen amp housewives,0
Make up is not a Feel beautiful in own ,0
i keep being harassed by these boys two years younger than me and although i shouldnt feel intimidated and threatened by them i do,1
bodypositivity bodypositivitymovement bodypositivityx #mybodymychoice beautiful lovemybody quotes lovequotes lifequotes quotestoliveby inspirationalquotes motivationalquotes instaquotes quotestagram quotesoftheday dailyquotes successquotes positivequotes bestquotes ,0
Needs another bottle of green but rock it till because fucking wesome #bodypositivityfitness bodypositivityblogger bodypositivitycampaign bodypositivityforall bodypositivitychallenge bodypositivity bodypositivityx bodypositivity bodypositivity bodypositivitypost bodypositivityactivist bodypositivityjourney bodypositivityoninstagram bodypositivity bodypositivity bodypositivity bodypositivitywarrior bodypositivityandflowers bodypositivityweek bodypositivitymovement bodypositivitywhilegettinghealthy bodypositivityadvocator bodypositivitynight bodypositivityproject hairdye haircrazy ,0
Impossible is an ,0
 @altagirlss #beautifulcurves_ plussizefitness biggirlsdoitbetter biggirl plussizebeauty plusmodel embraceyourcurves honormycurves prilaga biggirls celebratemysize curvynstyle plusmodelmag loveyourcurves curvygirl alternativecurves plussizefashion plussize plusfashion curvesarebeautiful effyourbeautystandards plussizemodel curvystyle curvyblogger curvymodel fullfigured  @altagirlss ,1
maybeyou should expand your frame just maybe find a whole new world plusisequal celebratemysize curvyfashion bodypositivity loveyourself curvygirl effyourbeautystandards bodypositive fashion plussizefashion plussize honormycurveswithoutwords ,1
selfie Yunoko chubby travel temple japan enjoylife crazy happy lifeisbeautiful smile livelifetothefullest wonderful cold effyourbeautystandardsb plussize bodylove curvy trip nature loveforrest dope flowers ,1
Resting is You need Your body needs give beauty body bodypositive bodypositivity positivity positive everydaythings love happyness kindness selflove selfcare stuttgart germany degerloch palmen itsuptoyou peace freedom thoughtful fuckdietculture bodypositivitypost positivevibes munich ,0
ourbodybeautiful obb bodyimagemovement bimgap bim embracethedocumentary everyoneisbeautiful sizedoesntmatter positivebodyimage iamsizesexy girlswithcurves menrocktoo bodypositive loveyourself todaywillbeamazing bodypositivezone loveyourbody positivityisachoice bodyimagemovement bimgap bim embracethedocumentary everyoneisbeautiful sizedoesntmatter positivebodyimage iamsizesexy girlswithcurves menrocktoo bodypositive loveyourself bodypositivezone mensfashion bodypositivityformen bodypositivityforeveryone ,0
Une petite partie de Cache cache dans le sable de ,0
Purple Haze to being fierce Happy New ,0
 . . . . #mindfullness motivation nutrition wellness sex sexpositive mindset eatingdisorder ED eatingdisorderrecovery EDrecovery mentalhealth mindfuleating foodfreedom bodyposi beauty beautystandards body bodyimage bodypositivity fatbodypositivity intersectionalfeminism selflove selfcare illustration illustrationartists ,1
A million times this loveyourself bodyshaming bodyshamingisnotok selflove yourebeautiful fitfam goals pt dontbeanarsehole ,0
This ,0
tattoos make great ,0
Sign me the fuck Pennywise ,0
YESSSS YOU LOOK FABULOUS #flyfluffyandfabulous goldenconfidence psootd plussizegirls pmmlovemybody ootd fashionforwardplus curvyfashionista psmodel stylehasnosize visiblyplussize celebratemysize honormycurves plusisequal plusandproud plusisequal plussizefashionista psstyle psfashion  plussizestyle plussizegirl plussizestylewatch plusandproud plussizefashion curvyconfidence plussizefashionblogger bigandbeautiful plussizebeauty plussizestyle alternativecurves sizedoesntmatter bigandbeautiful respectmycurves plussizemeplz ,1
WednesdayWisdom Read for free on MeTooMovement of the Bible MeToo timesup ,0
A RAPE VICTIM ,1
Away on holiday for my I do miss my home comforts midlandsengland thickthighssavelives bbw juicylucy morning thick thickthighssavelifes newbie bbwuk plussizemodeluk plussexy effyourbeautystandarts effyourbeautystandardsmovement lovemyself thunderthighssaveslives curvy newbie selfieoftheday bigboooty bigbums needmoreplanslikethis plussizefashion ,1
me for ore    #shoota d1xsike laiiandnayah explore explorepage pettychallenge queennaija royaltysquad clarencenyc queenandclarence pettyasl pieceofyolovechallenge metoochallenge ynwmelly eishavsnyema ybnalmightyjay bustdownthotiana thotianachallenge blueface shaderoomteens alohaahyeschallenge onechallenge newchallenge nickiminaj cardi ,0
is where the beach ,0
  #bodypositivity bodypositive selflove loveyourself effyourbeautystandards love motivation mentalhealth effyourbeautystandards feminism selfcare healthy plussizemodel confidence bopo bodypositivityquotes happyquotes selflovequotes ,1
Back to work for one day while Bubba is Keeping my nursing registration ,0
A female anatomy lesson for dummies aka the Republican Party barrrrfffff* #sexism feminism feminist timesup metoo genderequality womensupportingwomen girlgang girlsquad strongwomen selfconfidence mentalhealth selflove intersectionalfeminist intersectionalfeminism intersectional intersectionality allinclusive allinclusivefeminism allinclusivefeminist girlpower bodypositivity intersectionalbodypositivity allinclusivebodypositivity ladypower womenareawesome womenhavepower ,0
